title,address,rate_1h,rate_2h,rate_3h,rate_4h,rate_evening,rate_weekend,low_cost,hours_weekday,hours_saturday,hours_sunday,hours_sorting,,icon,lat,lng,heading,link,url,phone,cross_streets,taxes_included,epark,buslic_location_id
First and Columbia Garage,721 First Ave,$3.00,$6.00,$9.00,$12.00,$6.00,$6.00,TRUE,M-Th 6 a.m. - 9 p.m.  / F 6 a.m. - 12 a.m. ,10 a.m. - 12 a.m.,10 a.m. - 10 p.m.,evening,,low," 47°36'10.65""N","122°20'5.09""W",,,,(877) 717-0004,First Ave & Columbia St,no,FALSE,
First and Main Lot,305 First Ave S,$4.00,$8.00,$12.00,$16.00,$10.00,same,FALSE,24 hours,24 hours,24 hours,24_hour,,low," 47°35'59.33""N","122°20'3.66""W",,,,(206) 284-3100,First Ave S & S Main St,no,FALSE,
300 Second Ave Ext,300 Second Ave Ext S,$3.66,$7.32,$10.98,$18.30,$6.10,$6.10,FALSE,8 a.m. - 11 p.m.,24 hours,24 hours,evening,,low," 47°36'0.96""N","122°19'49.88""W",,,,(206) 284-3100,Second Ave S & S Main St,no,FALSE,
5-Star Parking,714 First Ave,$6.00,$9.00,$12.00,$18.00,$6.00,$6.00,FALSE,24 hours,24 hours,24 hours,24_hour,"Lower two floors: 5 - 9:30, all others 24 hours",regular," 47°36'10.77""N","122°20'4.22""W",,,,(206) 322-3383,First Ave & Columbia St,yes,FALSE,
505 First Avenue S Garage,505 First Ave S,$5.00,$12.00,$14.00,$16.00,same,N/A,FALSE,6 a.m. - 8 p.m.,Closed,Closed,commuter,,regular," 47°35'50.19""N","122°20'5.58""W",,,,(206) 447-5664,First Ave S & S King St,yes,FALSE,
Bell Street Pier Garage,9 Wall Street,$5.00,$8.00,$10.00,$12.00,$5.00,same as above,FALSE,M-Th 6 a.m. - 11:30 p.m.  / F 6 a.m. - 12:30 a.m.,6 a.m. - 12:30 a.m.,6 a.m. - 11:30 p.m.,evening,Attendant,regular,"47°36'46.7974""N","122°21'2.5524""W",119,,Rep,(206) 783-4144,Elliott Ave & Wall St,yes,FALSE,
Butler Garage,114 James St,$8.00,$12.00,$17.00,$20.00,$6.00,$9.00,FALSE,M-Th 6:30 a.m. - 10 p.m. / F 6:30 a.m. - 2 a.m.,10 a.m. - 2 a.m.,Closed,evening,,regular," 47°36'7.78""N","122°19'59.02""W",,,,(206) 621-1227,2nd Ave and James Street ,yes,FALSE,
CenturyLink Field North Lot,201 King St,$12.00,$12.00,$12.00,$12.00,$6.00,$6.00,FALSE,M-W 5 a.m. - 9 p.m. / Th-F 5 a.m. - 12 a.m.,5 a.m. - 12 a.m.,5 a.m. - 9 p.m.,evening,,regular," 47°35'53.44""N","122°19'53.63""W",,,,(206) 254-0811,Second Ave S & S King St,yes,FALSE,
Commuter Centre Garage,809 Western Ave,$5.00,$10.00,$13.00,$15.00,same,N/A,FALSE,6 a.m. - 7 p.m.,Closed,Closed,commuter,,regular," 47°36'10.30""N","122°20'11.14""W",,,,(206) 448-7683,Western Ave & Columbia St,yes,FALSE,
Commuter Centre Lot,801 Western Ave,$5.00,$10.00,$15.00,$20.00,$7.00,same,FALSE,24 hours,24 hours,24 hours,24_hour,,regular," 47°36'10.70""N","122°20'11.55""W",,,,(206) 284-3100,Western Ave & Columbia St,no,FALSE,
