title,address,rate_1h,rate_2h,rate_3h,rate_4h,rate_evening,rate_weekend,low_cost,flat_rate,hours_weekday,hours_saturday,hours_sunday,hours_sorting,,icon,lat,lng,heading,link,url,phone,cross_streets,taxes_included,epark,buslic_location_id,active,total_spaces
5-Star Parking,714 First Ave,$6.00,$9.00,$12.00,$18.00,$6.00,$6.00,FALSE,TRUE,24 hours,24 hours,24 hours,24_hour,"Lower two floors: 5 - 9:30, all others 24 hours",regular," 47°36'10.77""N","122°20'4.22""W",63,,,(206) 322-3383,First Ave & Columbia St,yes,FALSE,,TRUE,
505 First Avenue S Garage,505 First Ave S,$5.00,$12.00,$14.00,$16.00,$7.00 (4p-close),N/A,FALSE,FALSE,6 a.m. - 8 p.m.,Closed,Closed,commuter,,regular,"47°35'50.568""N","122°20'6.2952""W",48,,,(206) 447-5664,First Ave S & S King St,yes,FALSE,,TRUE,
Bell Street Pier Garage,9 Wall Street,$5.00,$8.00,$12.00,$13.00,$7.00,Same as Evening,FALSE,FALSE,M-Th 6 a.m. - 12:00 a.m.  / F 6 a.m. - 12:30 a.m.,6 a.m. - 1:00 a.m.,6 a.m. - 12:00 a.m.,evening,Attendant,epark,"47°36'46.7974""N","122°21'2.5524""W",119,,Rep,(206) 783-4144,Elliott Ave & Wall St,yes,TRUE,76135,TRUE,
Butler Garage,114 James St,$3.00,$6.00,$9.00,$12.00,$6.00,$7.00,TRUE,FALSE,M-Th 6:30 a.m. - 10 p.m. / F 6:30 a.m. - 2 a.m.,10 a.m. - 2 a.m.,10 a.m. - 10 p.m.,evening,,low," 47°36'7.78""N","122°19'59.02""W",0,,,(206) 621-1227,2nd Ave and James Street ,yes,TRUE,613589,TRUE,
CenturyLink Field North Lot,201 King St,$13.00,$13.00,$13.00,$13.00,$6.00,$6.00,FALSE,TRUE,M-Th 5 a.m. - 9 p.m. / F 5 a.m. - 12 a.m.,5 a.m. - 12 a.m.,5 a.m. - 9 p.m.,evening,,regular," 47°35'53.44""N","122°19'53.63""W",196,,,(206) 254-0811,Second Ave S & S King St,yes,FALSE,,TRUE,
Desimone Lot,1615 Western Ave,$8.00,$8.00,$12.00,$16.00,$7.00,Same as Evening,FALSE,FALSE,24 hours,24 hours ,24 hours,24_hour,,regular,"47°36'34.2468""N","122°20'32.9028""W",216,,,(206) 783-4144,Western Ave & Virginia St,yes,FALSE,,TRUE,
Diamond Lot,122 Occidental Ave S,$5.00,$10.00,$15.00,$20.00,$8.00,Same as Evening,FALSE,FALSE,24 hours,24 hours,24 hours,24_hour,,regular,"47°36'3.7692""N","122°19'57.9432""W",77,,,(206) 284-3100,S Washington Street and Occidental Ave S ,no,FALSE,,TRUE,
Diamond Lot,1524 Alaskan Way,$6.00,$12.00,$18.00,$24.00,Same as Weekday,Same as Weekday,FALSE,FALSE,24 hours,24 hours,24 hours,24_hour,,regular,"47°36'28.3608""N","122°20'33.2664""W",19,,,(206) 284-3100,Alaskan Way & Pike Place Hillclimb,no,FALSE,,TRUE,
Diamond Lot,202 Occidental Ave S,$4.75,$9.75,$14.75,$19.75,$8.00,Same as Evening,FALSE,FALSE,24 hours,24 hours,24 hours,24_hour,,regular,"47°36'2.9556""N","122° 19' 57.378""W",180,,,(206) 284-3100,S Washington St & Occidental Ave S,no,FALSE,,TRUE,
Diamond Lot,255 S Washington St,$3.00,$6.00,$9.00,$15.00,$5.00,Same as Evening,FALSE,FALSE,24 hours,24 hours,24 hours,24_hour,,regular," 47°36'3.43""N","122°19'51.13""W",29,,,(206) 284-3100,Second Ave S Ext & S Washington St,no,FALSE,,TRUE,
Diamond Lot,615 First Ave,$5.00,$10.00,$15.00,$20.00,$10.00,Same as Evening,FALSE,FALSE,24 hours,24 hours,24 hours,24_hour,,regular," 47°36'8.40""N","122°20'3.52""W",278,,,(206) 284-3100,First Ave & Cherry St,no,FALSE,,TRUE,
Diamond Lot,302 Second Ave S,$5.00,$10.00,$15.00,$20.00,$10.00,Same as Evening,FALSE,FALSE,24 hours,24 hours,24 hours,24_hour,,regular," 47°35'59.55""N","122°19'53.12""W",95,,,(206) 284-3100,Second Ave S & S Main St,no,FALSE,,TRUE,
First and Columbia Garage,721 First Ave,$3.00,$6.00,$9.00,$12.00,$6.00,$6.00,TRUE,FALSE,M-Th 6 a.m. - 9 p.m.  / F 6 a.m. - 2:30 a.m. ,10 a.m. - 2:30 a.m.,10 a.m. - 10 p.m.,evening,,low," 47°36'10.65""N","122°20'5.09""W",242,,,(877) 717-0004,First Ave & Columbia St,yes,TRUE,533969,TRUE,702
First and Main Lot,305 First Ave S,$4.00,$8.00,$12.00,$16.00,$10.00,Same as Evening,FALSE,FALSE,24 hours,24 hours,24 hours,24_hour,,regular," 47°35'59.33""N","122°20'3.66""W",267,,,(206) 284-3100,First Ave S & S Main St,no,FALSE,,TRUE,
