title,address,date,rate_1h,rate_2h,rate_3h,rate_4h,rate_evening,rate_weekend
1700 Seventh Avenue,1700 Seventh Ave,2014-08-14 11:39:10 -0700,$8.00,$8.00,$13.00,$15.00,$7.00,$7.00
1700 Seventh Avenue,1700 Seventh Ave,2015-03-27 14:25:22 -0700,$10.00,$10.00,$14.00,$17.00,$7.00,$7.00
1700 Seventh Avenue,1700 Seventh Ave,2015-08-13 15:34:27 -0700,$12.00,$12.00,$15.00,$18.00,$7.00,$7.00
1st and Columbia Garage,721 1st Ave,2013-06-20 09:11:48 -0700,$3.00,$6.00,$9.00,$12.00,$6.00,$6.00
1st and Main Lot,305 1st Ave S,2013-06-20 09:11:48 -0700,$3.00,$6.00,$9.00,$12.00,$10.00,same as above
300 2nd Ave Ext,300 2nd Ave Ext S,2013-06-20 09:11:48 -0700,$3.00,$6.00,$9.00,$15.00,$5.00,$5.00
300 Second Ave Ext,300 Second Ave Ext S,2013-07-26 13:56:46 -0700,$3.66,$7.32,$10.98,$18.30,$6.10,$6.10
5 Star Parking,714 1st Ave,2013-06-20 09:11:48 -0700,$6.00,$9.00,$12.00,$18.00,$6.00,$6.00
5-Star Parking,714 First Ave,2013-07-26 13:56:46 -0700,$6.00,$9.00,$12.00,$18.00,$6.00,$6.00
505 1st Avenue S Garage,505 1st Ave S,2013-06-20 09:11:48 -0700,$7.00,$10.00,$12.00,$14.00,same as above,same as above
505 First Avenue S Garage,505 First Ave S,2013-07-26 13:56:46 -0700,$5.00,$12.00,$14.00,$16.00,same,N/A
505 First Avenue S Garage,505 First Ave S,2014-06-23 12:07:32 -0700,$5.00,$12.00,$14.00,$16.00,$7.00 (4p-close),N/A
505 First Avenue S Garage,505 First Ave S,2015-06-22 13:37:47 -0700,$5.00,$12.00,$14.00,$16.00,$7.00 (4 p.m. - close),N/A
520 Pike Tower,520 Pike St,2013-11-14 13:29:24 -0800,$8.00,$11.00,$14.00,$18.00,$7.00,$7.00
720 Olive,720 Olive Way,2013-11-14 13:29:24 -0800,$7.00,$12.00,$14.00,$16.00,$7.00,$7.00
800 Fifth Avenue,800 Fifth Ave,2014-08-14 11:39:10 -0700,$11.00,$22.00,$33.00,$33.00,$7.00,$7.00
800 Fifth Avenue,800 Fifth Ave,2014-10-20 13:39:01 -0700,$11.00,$18.00,$20.00,$22.00,$7.00,$7.00
Bank of America 5th Ave Plaza,800 Fifth Ave,2013-11-14 13:29:24 -0800,,,,,$7.00,$7.00
Bank of America 5th Ave Plaza,800 Fifth Ave,2013-11-15 14:50:11 -0800,$11.00,$18.00,$20.00,$22.00,$7.00,$7.00
Bell Street Pier Garage,9 Wall Street,2013-07-09 19:19:44 -0700,$5.00,$8.00,$10.00,$12.00,$5.00,same as above
Bell Street Pier Garage,9 Wall Street,2014-07-01 16:40:09 -0700,$5.00,$8.00,$10.00,$12.00,$7.00,same as above
Bell Street Pier Garage,9 Wall Street,2014-08-14 11:39:10 -0700,$5.00,$8.00,$12.00,$13.00,$7.00,same as above
Bell Street Pier Garage,9 Wall Street,2014-12-30 12:06:02 -0800,$5.00,$8.00,$12.00,$13.00,$7.00,Same as Evening
Bell Street Pier Garage,9 Wall Street,2015-03-27 14:25:22 -0700,$5.00,$8.00,$12.00,$13.00,$8.00,Same as Weekday
Butler Garage,114 James St,2013-06-20 09:11:48 -0700,$7.00,$12.00,$16.00,$20.00,$7.00,$7.00
Butler Garage,114 James St,2013-07-26 13:56:46 -0700,$8.00,$12.00,$17.00,$20.00,$6.00,$9.00
Butler Garage,114 James St,2013-09-04 15:33:44 -0700,$3.00,$6.00,$9.00,$12.00,$6.00,$9.00
Butler Garage,114 James St,2014-07-01 16:40:09 -0700,$3.00,$6.00,$9.00,$12.00,$6.00,$7.00
Butler Garage,114 James St,2015-03-27 14:25:22 -0700,$3.00,$6.00,$9.00,$12.00,$7.00,$8.00
Butler Garage,114 James St,2015-08-13 15:34:27 -0700,$3.00,$6.00,$9.00,$12.00,Same as Weekday,$8.00
Century Square,1501 Fourth Ave,2013-11-14 13:29:24 -0800,$8.00,$13.00,$17.00,$19.00,$7.00,$7.00
Century Square,1501 Fourth Ave,2013-11-26 10:55:21 -0800,$8.00,$13.00,$17.00,$19.00,$6.00,$6.00
CenturyLink Field North Lot,201 King St,2013-07-13 12:04:37 -0700,$12.00,$12.00,$12.00,$12.00,$6.00,$6.00
CenturyLink Field North Lot,201 King St,2014-11-18 17:26:55 -0800,$13.00,$13.00,$13.00,$13.00,same,same
CenturyLink Field North Lot,201 King St,2014-12-30 12:06:02 -0800,$13.00,$13.00,$13.00,$13.00,$6.00,$6.00
CenturyLink Field North Lot,201 King St,2015-08-13 15:34:27 -0700,$16.00,$16.00,$16.00,$16.00,$6.00,$6.00
Commuter Centre Garage,809 Western Ave,2013-06-20 09:11:48 -0700,$5.00,$10.00,$13.00,$15.00,same as above,same as above
Commuter Centre Garage,809 Western Ave,2013-07-26 13:56:46 -0700,$5.00,$10.00,$13.00,$15.00,same,N/A
Commuter Centre Lot,801 Western Ave,2013-06-20 09:11:48 -0700,$6.00,$12.00,$18.00,$24.00,$10.00,same as above
Commuter Centre Lot,801 Western Ave,2013-07-26 13:56:46 -0700,$5.00,$10.00,$15.00,$20.00,$7.00,same
Commuter Centre Lot,801 Western Ave,2014-08-14 11:39:10 -0700,$4.00,$8.00,$12.00,$16.00,same,same
Commuter Centre Lot,801 Western Ave,2014-11-18 17:26:55 -0800,$4.00,$8.00,$12.00,$16.00,$8.00,same
Commuter Centre Lot,801 Western Ave,2014-12-30 12:06:02 -0800,$4.00,$8.00,$12.00,$16.00,$8.00,Same as Evening
Commuter Centre Lot,801 Western Ave,2015-03-27 14:25:22 -0700,$4.00,$8.00,$12.00,$16.00,$8.00,Same as Weekday 
DPS Parking,302 2nd Ave S,2013-06-20 09:11:48 -0700,$5.00,$9.00,$13.00,$17.00,$8.00,same as above
DPS Parking,302 Second Ave S,2013-07-26 13:56:46 -0700,$5.00,$10.00,$15.00,$20.00,$10.00,same
Desimone Lot,1615 Western Ave,2013-06-20 09:11:48 -0700,$8.00,$8.00,$16.00,$16.00,$7.00,same as above
Desimone Lot,1615 Western Ave,2013-07-26 13:56:46 -0700,$8.00,$8.00,$16.00,$16.00,$7.00,same
Desimone Lot,1615 Western Ave,2014-06-23 12:07:32 -0700,$8.00,$8.00,$12.00,$16.00,$7.00,same
Desimone Lot,1615 Western Ave,2014-12-30 12:06:02 -0800,$8.00,$8.00,$12.00,$16.00,$7.00,Same as Evening
Desimone Lot,1615 Western Ave,2015-03-27 14:25:22 -0700,$8.00,$8.00,$12.00,$16.00,$7.00,Same as Weekday
Diamond Lot,1000 1st Ave S,2015-10-07 21:07:08 -0700,$5.00,$10.00,$15.00,$20.00,none,Same as Weekday
Diamond Lot,122 Occidental Ave S,2013-06-20 09:11:48 -0700,$5.00,$9.00,$16.00,$16.00,$20.00,$10.00
Diamond Lot,122 Occidental Ave S,2013-07-26 13:56:46 -0700,$5.00,$10.00,$15.00,$20.00,$12.00,same
Diamond Lot,122 Occidental Ave S,2014-07-01 16:40:09 -0700,$5.00,$10.00,$15.00,$20.00,$8.00,same
Diamond Lot,122 Occidental Ave S,2014-12-30 12:06:02 -0800,$5.00,$10.00,$15.00,$20.00,$8.00,Same as Evening
Diamond Lot,122 Occidental Ave S,2015-03-27 14:25:22 -0700,$9.00,$17.00,$25.00,$33.00,$12.00,Same as Evening
Diamond Lot,122 Occidental Ave S,2015-08-13 15:34:27 -0700,$10.00,$20.00,$30.00,$40.00,$12.00,Same as Evening
Diamond Lot,1524 Alaskan Way,2013-06-20 09:11:48 -0700,$7.00,$14.00,$21.00,$28.00,same as above,same as above
Diamond Lot,1524 Alaskan Way,2013-07-26 13:56:46 -0700,$6.00,$12.00,$18.00,$24.00,same,same
Diamond Lot,1524 Alaskan Way,2014-12-30 12:06:02 -0800,$6.00,$12.00,$18.00,$24.00,Same as Weekday,Same as Weekday
Diamond Lot,1524 Alaskan Way,2015-08-13 15:34:27 -0700,$9.00,$18.00,$27.00,$36.00,N/A,Same as Weekday
Diamond Lot,202 Occidental Ave S,2013-06-20 09:11:48 -0700,$5.00,$9.00,$13.00,$17.00,$10.00,same as above
Diamond Lot,202 Occidental Ave S,2013-07-26 13:56:46 -0700,$5.00,$10.00,$15.00,$20.00,$12.00,same
Diamond Lot,202 Occidental Ave S,2014-07-01 16:40:09 -0700,$5.00,$10.00,$15.00,$20.00,$8.00,same
Diamond Lot,202 Occidental Ave S,2014-11-18 17:26:55 -0800,$4.75,$9.75,$14.75,$19.75,$8.00,same
Diamond Lot,202 Occidental Ave S,2014-12-30 12:06:02 -0800,$4.75,$9.75,$14.75,$19.75,$8.00,Same as Evening
Diamond Lot,255 S Washington St,2013-06-20 09:11:48 -0700,none (evening only),none (evening only),none (evening only),none (evening only),$5.00,$5.00
